127.0.0.1 - - [24/Apr/2019:12:32:11 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:32:12 +0200] "GET /05_WEB/Inicio.html HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:33:05 +0200] "GET /05_WEB/Inicio.html HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:33:05 +0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:33:08 +0200] "GET /05_WEB/Inicio.html HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:45:34 +0200] "GET /05_WEB/DFD_pagina_inicio.html HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:45:48 +0200] "GET /05_WEB/DFD_pagina_inicio.html HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:51:11 +0200] "GET /05_WEB/DFD_pagina_inicio.html HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:51:22 +0200] "GET /05_WEB/DFD_pagina_inicio.html HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:51:25 +0200] "GET /05_WEB/DFD_pagina_inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:52:37 +0200] "GET /05_WEB/DFD_pagina_inicio.html HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:52:58 +0200] "GET /05_WEB/DFD_pagina_inicio.html HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:54:11 +0200] "GET /05_WEB/DFD_pagina_inicio.html?nombreUsuario=Domingo&passwordUsuario=12234G HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:54:28 +0200] "GET /05_WEB/DFD_pagina_inicio.html?nombreUsuario=Domingo&passwordUsuario=12234G HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:54:38 +0200] "GET /05_WEB/DFD_pagina_inicio.html?nombreUsuario=Domingo&passwordUsuario=12233321 HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:55:11 +0200] "GET /05_WEB/DFD_pagina_inicio.html?nombreUsuario=Domingo&passwordUsuario=128893 HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:58:40 +0200] "GET /05_WEB/DFD_pagina_inicio.html?nombreUsuario=Domingo&passwordUsuario=128893 HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:59:54 +0200] "GET /05_WEB/DFD_pagina_inicio.html?nombreUsuario=Domingo&passwordUsuario=128893 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2019:13:00:20 +0200] "GET /05_WEB/texto.txt HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [24/Apr/2019:13:00:50 +0200] "GET /05_WEB/DFD_pagina_inicio.html HTTP/1.1" 200 394
